,date,gateway,chain,relays,relays_norm
293,2022-06-30,eu-west-1,03DF,16030,0.0031980604950150758
292,2022-06-30,eu-south-1,03DF,11351,0.0022645779587595833
291,2022-06-30,eu-north-1,03DF,1030,0.00020548985089616518
290,2022-06-30,eu-central-1,03DF,2036366,0.4062646074854566
289,2022-06-30,ca-central-1,03DF,18709,0.003732533612054713
287,2022-06-30,ap-northeast-2,03DF,17,3.3915800633347653e-06
260,2022-06-30,ap-east-1,0021,4241342,0.07220207474087699
233,2022-06-30,us-west-2,0040,11222087,0.04055100870285762
258,2022-06-30,us-east-2,0049,2255917,0.05234853787892535
230,2022-06-30,eu-west-3,0040,10357932,0.037428384816087006
229,2022-06-30,eu-west-2,0040,11223001,0.04055431144164002
228,2022-06-30,eu-west-1,0040,740592,0.002676129015687254
227,2022-06-30,eu-south-1,0040,11820828,0.04271455916381534
226,2022-06-30,eu-north-1,0040,6553210,0.02368002277487722
225,2022-06-30,eu-central-1,0040,74502017,0.26921302069280395
224,2022-06-30,ca-central-1,0040,10412748,0.037626462419036964
223,2022-06-30,ap-southeast-1,0040,27649731,0.09991229638592822
222,2022-06-30,ap-northeast-2,0040,342143,0.001236333649046012
221,2022-06-30,ap-east-1,0040,11150107,0.0402909089899939
231,2022-06-30,us-east-1,0040,44358816,0.16029057105549616
220,2022-06-30,us-west-2,0009,3988673,0.017443121970435835
218,2022-06-30,us-east-1,0009,27060741,0.11834106377569026
217,2022-06-30,eu-west-3,0009,8468609,0.037034617705419985
216,2022-06-30,eu-west-2,0009,6703504,0.02931552370959076
215,2022-06-30,eu-west-1,0009,466757,0.002041205002654948
214,2022-06-30,eu-south-1,0009,21479378,0.09393284691502565
213,2022-06-30,eu-north-1,0009,17958157,0.078533969296364
212,2022-06-30,eu-central-1,0009,40296546,0.17622341236428213
211,2022-06-30,ca-central-1,0009,1306160,0.0057120521519072815
210,2022-06-30,ap-southeast-1,0009,37230459,0.16281491046077495
209,2022-06-30,ap-northeast-2,0009,2024206,0.008852185213299772
219,2022-06-30,us-east-2,0009,5274368,0.023065677316983297
232,2022-06-30,us-east-2,0040,23559381,0.08513181763471789
208,2022-06-30,ap-east-1,0009,23167103,0.1013135454650331
234,2022-06-30,ap-east-1,0004,4575653,0.08845448779730385
257,2022-06-30,us-east-1,0049,6811381,0.15805804747528054
256,2022-06-30,eu-west-3,0049,1271327,0.029501133958386116
255,2022-06-30,eu-west-2,0049,1049777,0.024360067790137944
254,2022-06-30,eu-west-1,0049,166417,0.0038617052968691313
253,2022-06-30,eu-south-1,0049,1862573,0.04322099316719703
252,2022-06-30,eu-north-1,0049,1067359,0.024768057974611603
251,2022-06-30,eu-central-1,0049,3130799,0.07265016844272268
250,2022-06-30,ca-central-1,0049,497512,0.01154476240802295
249,2022-06-30,ap-southeast-1,0049,12082150,0.2803662044897299
248,2022-06-30,ap-northeast-2,0049,227560,0.005280528175339897
247,2022-06-30,ap-east-1,0049,2509003,0.05822139670202288
259,2022-06-30,us-west-2,0049,2796570,0.06489438688394399
245,2022-06-30,us-east-2,0004,575917,0.011133371181940554
246,2022-06-30,us-west-2,0004,45177,0.0008733416618827512
236,2022-06-30,ap-southeast-1,0004,6361304,0.12297389837973731
237,2022-06-30,ca-central-1,0004,143145,0.0027672154456959606
238,2022-06-30,eu-central-1,0004,13386256,0.25877714459632
239,2022-06-30,eu-north-1,0004,5674680,0.10970038873437392
235,2022-06-30,ap-northeast-2,0004,691446,0.01336672640374927
241,2022-06-30,eu-west-1,0004,624925,0.012080772031168033
242,2022-06-30,eu-west-2,0004,2520394,0.04872313532459691
243,2022-06-30,eu-west-3,0004,2113904,0.04086505151782091
244,2022-06-30,us-east-1,0004,1982852,0.03833161256718102
240,2022-06-30,eu-south-1,0004,9486066,0.1833804069586175
379,2022-07-01,ap-southeast-1,0027,79612072,0.6814938905761248
387,2022-07-01,us-east-1,0027,1375736,0.011776551664747973
386,2022-07-01,eu-west-3,0027,846745,0.007248291997423214
385,2022-07-01,eu-west-2,0027,497902,0.0042621321437989156
384,2022-07-01,eu-west-1,0027,4413,3.777608676121931e-05
383,2022-07-01,eu-south-1,0027,265225,0.002270374487025695
382,2022-07-01,eu-north-1,0027,669395,0.00573014357523825
381,2022-07-01,eu-central-1,0027,3361000,0.028770774440167252
380,2022-07-01,ca-central-1,0027,31746,0.0002717515636350936
378,2022-07-01,ap-northeast-2,0027,16326,0.0001397535446326006
372,2022-07-01,eu-west-2,0021,1930119,0.03308020765068549
376,2022-07-01,us-west-2,0021,1347492,0.023094594254363332
375,2022-07-01,us-east-2,0021,3015265,0.05167846766020344
374,2022-07-01,us-east-1,0021,7066145,0.12110628613564918
373,2022-07-01,eu-west-3,0021,1229974,0.02108045945609791
388,2022-07-01,us-east-2,0027,4183275,0.03580959876411505
371,2022-07-01,eu-west-1,0021,197288,0.0033813086172347095
370,2022-07-01,eu-south-1,0021,838498,0.014370972957980564
369,2022-07-01,eu-north-1,0021,5733285,0.09826246895686763
368,2022-07-01,eu-central-1,0021,10794871,0.18501272421149317
367,2022-07-01,ca-central-1,0021,840661,0.014408044500796541
366,2022-07-01,ap-southeast-1,0021,11188226,0.19175441479141875
377,2022-07-01,ap-east-1,0027,5830636,0.049911310085902716
389,2022-07-01,us-west-2,0027,285562,0.0024444629249280097
395,2022-07-01,eu-north-1,03DF,28942,0.006672594890584153
391,2022-07-01,ap-northeast-2,03DF,11,2.536056381605476e-06
365,2022-07-01,ap-northeast-2,0021,450599,0.007722792474034623
414,2022-07-01,us-east-2,0005,287812,0.008724177148580061
413,2022-07-01,us-east-1,0005,6267950,0.18999453170278652
412,2022-07-01,eu-west-3,0005,1495365,0.04532760677729359
411,2022-07-01,eu-west-2,0005,1775843,0.05382947521321509
410,2022-07-01,eu-west-1,0005,53192,0.0016123595641851995
409,2022-07-01,eu-south-1,0005,865396,0.026231943100609393
408,2022-07-01,eu-north-1,0005,294361,0.00892269088722213
407,2022-07-01,eu-central-1,0005,11114169,0.33689345550309546
406,2022-07-01,ca-central-1,0005,389834,0.011816675032797659
405,2022-07-01,ap-southeast-1,0005,4824503,0.14624066691401313
404,2022-07-01,ap-northeast-2,0005,128135,0.0038840369370745703
403,2022-07-01,ap-east-1,0005,1420093,0.04304595673376546
415,2022-07-01,us-west-2,0005,32750,0.000992720253554393
401,2022-07-01,us-east-2,03DF,385349,0.0888424355086626
400,2022-07-01,us-east-1,03DF,217612,0.05017057284672098
399,2022-07-01,eu-west-3,03DF,22684,0.005229809360030783
398,2022-07-01,eu-west-2,03DF,12934,0.0029819412036077475
397,2022-07-01,eu-west-1,03DF,17820,0.004108411338200871
396,2022-07-01,eu-south-1,03DF,15154,0.003493763491531762
394,2022-07-01,eu-central-1,03DF,2036987,0.46962853459976306
393,2022-07-01,ca-central-1,03DF,11143,0.0025690251145663472
