,date,chain,relays,nodes
351,2022-08-16,0005,28728767,5113
359,2022-08-17,0005,29280008,5150
358,2022-08-17,03DF,33606591,4810
357,2022-08-17,0027,83072539,13078
356,2022-08-17,0021,96158495,11369
355,2022-08-17,0049,36942355,6586
354,2022-08-17,0004,69314765,3007
353,2022-08-17,0040,162300116,12759
352,2022-08-17,0009,239064740,13334
360,2022-08-18,0009,236268081,14026
361,2022-08-18,0040,153522893,13414
362,2022-08-18,0004,67332441,3140
363,2022-08-18,0049,35809198,6894
364,2022-08-18,0021,97619001,11888
365,2022-08-18,0027,82298607,13706
366,2022-08-18,03DF,35058242,5113
367,2022-08-18,0005,28460898,5480
374,2022-08-19,03DF,34759390,5405
373,2022-08-19,0027,87526517,14146
372,2022-08-19,0021,99153130,12466
375,2022-08-19,0005,27704811,5796
370,2022-08-19,0004,97126703,3569
369,2022-08-19,0040,143748282,13820
368,2022-08-19,0009,232422300,14424
371,2022-08-19,0049,35767049,7394
376,2022-08-20,0009,241953341,14350
377,2022-08-20,0040,141955641,13926
378,2022-08-20,0004,175354661,3571
379,2022-08-20,0049,38514060,7330
380,2022-08-20,0021,99255020,12349
381,2022-08-20,0027,85840811,14035
382,2022-08-20,03DF,36917933,5312
383,2022-08-20,0005,26556112,5741
390,2022-08-21,03DF,46457750,5330
389,2022-08-21,0027,86587220,14119
388,2022-08-21,0021,92674245,12359
391,2022-08-21,0005,26560580,5722
386,2022-08-21,0004,160988863,3588
385,2022-08-21,0040,145834690,13891
384,2022-08-21,0009,226728193,14336
387,2022-08-21,0049,46261467,7230
398,2022-08-22,03DF,42213896,5307
397,2022-08-22,0027,87921391,13958
396,2022-08-22,0021,115205960,12252
399,2022-08-22,0005,26158278,5658
394,2022-08-22,0004,156517764,3553
393,2022-08-22,0040,151811744,13665
392,2022-08-22,0009,240640986,14231
395,2022-08-22,0049,36196912,7239
400,2022-08-23,0009,234097769,13331
401,2022-08-23,0040,153674948,12939
402,2022-08-23,0004,157042423,3539
403,2022-08-23,0049,42210494,7058
404,2022-08-23,0021,95921227,11569
405,2022-08-23,0027,78127278,13161
406,2022-08-23,03DF,42483773,4948
407,2022-08-23,0005,24379618,5343
413,2022-08-24,0027,82818955,13125
415,2022-08-24,0005,24697731,5238
412,2022-08-24,0021,120393840,11448
414,2022-08-24,03DF,47253089,4924
410,2022-08-24,0004,171244510,3520
409,2022-08-24,0040,158204853,12889
411,2022-08-24,0049,34912217,6985
408,2022-08-24,0009,241707604,13309
416,2022-08-25,0009,237398341,13358
417,2022-08-25,0040,158071098,12270
418,2022-08-25,0004,162709524,3354
419,2022-08-25,0049,34883811,7021
420,2022-08-25,0021,179267060,11440
421,2022-08-25,0027,86381416,13169
422,2022-08-25,03DF,44459498,4923
423,2022-08-25,0005,22368038,5238
431,2022-08-26,0005,23894011,5120
430,2022-08-26,03DF,45472486,4820
429,2022-08-26,0027,83679979,12918
428,2022-08-26,0021,532258505,11344
427,2022-08-26,0049,35746856,6925
426,2022-08-26,0004,168213013,2758
425,2022-08-26,0040,127681263,10064
424,2022-08-26,0009,243592472,13032
432,2022-08-27,0009,232717323,13011
433,2022-08-27,0040,122576575,10099
434,2022-08-27,0004,88642552,2829
435,2022-08-27,0049,32207594,6983
436,2022-08-27,0021,114241791,11473
437,2022-08-27,0027,80758606,12841
438,2022-08-27,03DF,44985230,4845
439,2022-08-27,0005,23312715,5130
446,2022-08-28,03DF,41070650,4812
445,2022-08-28,0027,77981599,12633
444,2022-08-28,0021,86570075,11335
447,2022-08-28,0005,24634316,5116
442,2022-08-28,0004,75490987,2756
441,2022-08-28,0040,118733680,9890
440,2022-08-28,0009,221057476,12855
443,2022-08-28,0049,29771011,6909
448,2022-08-29,0009,224122151,13305
449,2022-08-29,0040,126653509,10229
450,2022-08-29,0004,83275444,2861
451,2022-08-29,0049,31273147,7073
452,2022-08-29,0021,92457099,11668
453,2022-08-29,0027,77891002,13088
454,2022-08-29,03DF,44166570,4937
455,2022-08-29,0005,23243311,5249
462,2022-08-30,03DF,48355448,4975
461,2022-08-30,0027,77767514,13246
460,2022-08-30,0021,89470048,11816
463,2022-08-30,0005,23281269,5290
458,2022-08-30,0004,82140434,2948
457,2022-08-30,0040,131973441,10450
456,2022-08-30,0009,235482869,13621
459,2022-08-30,0049,33259705,7154
470,2022-08-31,03DF,50111723,4836
469,2022-08-31,0027,79588132,13042
468,2022-08-31,0021,88135661,11693
471,2022-08-31,0005,22999854,5183
466,2022-08-31,0004,96935582,2847
465,2022-08-31,0040,128181913,10190
464,2022-08-31,0009,247726784,13321
467,2022-08-31,0049,32111114,7055
472,2022-09-01,0009,233169059,13167
473,2022-09-01,0040,131603080,10183
474,2022-09-01,0004,95442620,2868
475,2022-09-01,0049,32466183,6978
476,2022-09-01,0021,92275552,11600
477,2022-09-01,0027,76082382,12938
478,2022-09-01,03DF,51386157,4895
479,2022-09-01,0005,22764183,5151
485,2022-09-02,0027,78313990,12795
486,2022-09-02,03DF,50536980,4847
487,2022-09-02,0005,25310528,5105
484,2022-09-02,0021,78599024,11455
481,2022-09-02,0040,141639223,10035
482,2022-09-02,0004,85755756,2827
480,2022-09-02,0009,239148009,13002
483,2022-09-02,0049,32175646,6921
488,2022-09-03,0009,242443204,13184
489,2022-09-03,0040,173600059,10247
490,2022-09-03,0004,109867269,2863
491,2022-09-03,0049,31224128,7049
492,2022-09-03,0021,75594946,11635
493,2022-09-03,0027,80422323,12900
494,2022-09-03,03DF,42940457,4881
495,2022-09-03,0005,24922198,5269
503,2022-09-04,0005,25821011,5346
502,2022-09-04,03DF,37723511,4973
501,2022-09-04,0027,80813234,13113
500,2022-09-04,0021,67153300,11776
499,2022-09-04,0049,29031879,7122
498,2022-09-04,0004,145888046,2878
