,date,chain,provider,total_relays,nodes_staked,total_sessions
616,2022-07-03,0005,P12,2719629,1589,339
615,2022-07-03,0005,P11,215314,218,47
614,2022-07-03,0005,P7,0,0,0
613,2022-07-03,0005,P6,1075190,990,217
612,2022-07-03,0005,P2,520730,255,56
611,2022-07-03,0005,P1,224237,152,29
573,2022-07-03,0021,P2,3859118,255,126
609,2022-07-03,03DF,P10,1137,94,15
608,2022-07-03,03DF,P9,0,0,0
607,2022-07-03,03DF,P8,0,0,0
606,2022-07-03,03DF,P5,43490,2476,568
605,2022-07-03,03DF,P4,42026,2833,559
604,2022-07-03,03DF,P13,67290,245,54
603,2022-07-03,03DF,P12,461144,1589,346
602,2022-07-03,03DF,P11,66173,212,42
601,2022-07-03,03DF,P7,0,0,0
599,2022-07-03,03DF,P2,93933,255,56
571,2022-07-03,0049,P14,1337567,949,341
585,2022-07-03,0027,P1,695099,152,65
520,2022-07-03,0009,P1,1455646,152,88
542,2022-07-03,0040,P8,6626677,1006,432
541,2022-07-03,0040,P5,22371412,3670,1924
540,2022-07-03,0040,P4,15373480,2845,1374
539,2022-07-03,0040,P13,2690112,245,145
538,2022-07-03,0040,P12,21374684,1589,906
537,2022-07-03,0040,P11,1964787,218,102
536,2022-07-03,0040,P7,0,0,0
535,2022-07-03,0040,P6,11171146,990,523
534,2022-07-03,0040,P2,3439873,255,142
533,2022-07-03,0040,P1,1767655,152,73
532,2022-07-03,0009,P14,9167284,949,579
531,2022-07-03,0009,P10,1788171,437,201
530,2022-07-03,0009,P9,771989,457,82
529,2022-07-03,0009,P8,4296372,986,449
528,2022-07-03,0009,P5,17199563,3669,2014
527,2022-07-03,0009,P4,14530793,2842,1440
526,2022-07-03,0009,P13,1415961,245,152
525,2022-07-03,0009,P12,12543024,1589,956
524,2022-07-03,0009,P11,1455004,217,135
523,2022-07-03,0009,P7,0,0,0
522,2022-07-03,0009,P6,6282287,990,531
521,2022-07-03,0009,P2,2071200,255,152
570,2022-07-03,0049,P10,281446,341,105
543,2022-07-03,0040,P9,1214036,628,83
544,2022-07-03,0040,P10,3019135,437,209
572,2022-07-03,0021,P1,1689626,152,67
546,2022-07-03,0004,P1,415127,152,20
545,2022-07-03,0040,P14,13884434,949,534
568,2022-07-03,0049,P8,351138,524,140
567,2022-07-03,0049,P5,4020604,3666,1243
566,2022-07-03,0049,P4,81368,1879,638
565,2022-07-03,0049,P13,177802,245,79
564,2022-07-03,0049,P12,1567425,1589,574
